epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.154,2.10344,3.50386,1.30798,0.02636,0.25108,0.01804,0.0102,1.60758,3.49964,1.13742,0.0001,0.0001,0.0001
2,15.7191,1.59316,3.13623,1.01768,0.09936,0.89957,0.24111,0.10571,1.27109,inf,0.935,0.000219782,0.000219782,0.000219782
3,18.1188,1.49679,2.60374,0.94107,0.09471,0.87879,0.2263,0.09474,1.38568,inf,0.95997,0.000339327,0.000339327,0.000339327
4,20.5075,1.49309,2.23863,0.94589,0.09973,0.94372,0.31528,0.13698,1.33612,inf,0.9417,0.000458634,0.000458634,0.000458634
5,23.0959,1.59545,1.92829,0.95325,0.087,0.82857,0.27681,0.10089,1.56862,3.19741,1.00723,0.000577703,0.000577703,0.000577703
6,25.8955,1.60272,1.75371,0.95663,0.09841,0.93723,0.34516,0.15734,1.37995,3.08574,0.94935,0.000696535,0.000696535,0.000696535
7,28.3389,1.4861,1.47974,0.94809,0.0985,0.92987,0.32999,0.15974,1.44058,3.05697,0.96998,0.000815129,0.000815129,0.000815129
8,30.7564,1.48927,1.17702,0.94388,0.09642,0.91818,0.2808,0.13782,1.40158,3.02595,0.9593,0.000933486,0.000933486,0.000933486
9,33.2502,1.52735,1.11041,0.96333,0.09891,0.94199,0.31562,0.17907,1.30901,2.84911,0.95085,0.0010516,0.0010516,0.0010516
10,35.7296,1.49092,1.01431,0.95192,0.09782,0.9316,0.36714,0.20925,1.4066,2.60149,0.97425,0.00116949,0.00116949,0.00116949
11,38.2044,1.49406,0.96445,0.96583,0.09836,0.9368,0.6048,0.30548,1.46154,2.35796,1.00328,0.00128713,0.00128713,0.00128713
12,40.5984,1.49774,0.92333,0.96139,0.39652,0.56407,0.43731,0.23259,1.69678,2.10062,1.09588,0.00140454,0.00140454,0.00140454
13,43.1183,1.45764,0.87389,0.95536,0.70439,0.61478,0.70233,0.39598,1.46581,1.75213,1.00105,0.0015217,0.0015217,0.0015217
14,45.6305,1.48493,0.83144,0.96962,0.69534,0.69457,0.75866,0.46337,1.33287,1.42991,0.96224,0.00163864,0.00163864,0.00163864
15,48.1489,1.51311,0.84681,0.97849,0.74912,0.7342,0.77371,0.47122,1.29407,1.28184,0.95822,0.00175533,0.00175533,0.00175533
16,50.5827,1.36864,0.80803,0.93108,0.69393,0.871,0.74532,0.44196,1.26381,1.06417,0.95971,0.00187178,0.00187178,0.00187178
17,52.8996,1.36055,0.79758,0.93975,0.77207,0.8632,0.82789,0.50627,1.25161,0.90538,0.96187,0.00196832,0.00196832,0.00196832
18,55.3342,1.29328,0.75679,0.92725,0.84727,0.87178,0.8817,0.50917,1.32234,0.81673,1.00386,0.00196634,0.00196634,0.00196634
19,58.1988,1.34422,0.7643,0.938,0.73875,0.88139,0.81619,0.48349,1.22939,0.84804,0.96448,0.00196436,0.00196436,0.00196436
20,60.7719,1.39775,0.79294,0.95669,0.79938,0.89048,0.8663,0.54358,1.20343,0.84202,0.96607,0.00196238,0.00196238,0.00196238
21,63.2513,1.29593,0.75274,0.94177,0.88375,0.91255,0.91756,0.56757,1.27412,0.83895,0.99462,0.0019604,0.0019604,0.0019604
22,65.6619,1.24076,0.70556,0.91882,0.89667,0.90693,0.92931,0.58911,1.25521,0.87551,0.9933,0.00195842,0.00195842,0.00195842
