epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3655,1.8481,2.74458,3.10129,1.09479,0.07118,0.93846,0.18847,0.06958,0.07001,0.92308,0.20442,0.05982,1.61532,3.22241,3.2059,0.89996,0.000660194,0.000660194,0.000660194
2,21.4354,1.5873,2.37293,2.48995,0.97936,0.78307,0.58312,0.76012,0.34023,0.80373,0.59851,0.74915,0.32267,1.69782,2.47559,1.89102,0.92297,0.00132555,0.00132555,0.00132555
3,31.3793,1.67021,2.51298,2.14026,1.03275,0.89112,0.81844,0.89831,0.53659,0.88144,0.80068,0.87428,0.40969,1.39044,2.65078,1.26795,0.89093,0.00198958,0.00198958,0.00198958
4,40.5716,1.67339,2.37547,1.72736,1.02152,0.93052,0.79231,0.90318,0.42209,0.9341,0.78462,0.86612,0.34572,1.77079,2.65801,1.17837,0.9478,0.00199406,0.00199406,0.00199406
5,50.0736,1.58484,2.28929,1.48906,1.0161,0.88587,0.89562,0.93418,0.53066,0.94287,0.86923,0.92479,0.5021,1.57282,2.34473,0.9603,0.93739,0.00199208,0.00199208,0.00199208
6,60.2446,1.64576,2.32178,1.39927,1.03269,0.92272,0.84615,0.93169,0.55208,0.93956,0.86154,0.91154,0.45686,1.50259,2.41697,0.91517,0.91997,0.0019901,0.0019901,0.0019901
7,69.2157,1.61299,2.32338,1.27686,1.02431,0.88881,0.86154,0.93289,0.50969,0.89675,0.86923,0.91918,0.41411,1.60056,2.49154,0.96101,0.94561,0.00198812,0.00198812,0.00198812
8,78.9754,1.53054,2.18442,1.25896,1.00664,0.92053,0.89098,0.94181,0.4831,0.95343,0.86154,0.91706,0.36204,1.68293,3.21299,0.99935,0.94442,0.00198614,0.00198614,0.00198614
9,88.0237,1.52541,2.28157,1.17734,1.00791,0.97779,0.86923,0.96163,0.49738,0.92948,0.91256,0.93739,0.37524,1.60771,2.81268,0.89743,0.92034,0.00198416,0.00198416,0.00198416
10,98.0093,1.51078,2.21497,1.16177,1.00483,0.93632,0.90481,0.95868,0.49103,0.95027,0.88203,0.94676,0.44985,1.69293,2.5091,0.93284,0.96436,0.00198218,0.00198218,0.00198218
11,107.465,1.50434,2.19661,1.10311,0.99881,0.92085,0.89489,0.95299,0.52858,0.92453,0.88462,0.9245,0.41618,1.52987,2.35632,0.96982,0.92844,0.0019802,0.0019802,0.0019802
12,116.596,1.45332,2.11844,3.13216,0.98288,0.92886,0.90398,0.95216,0.50181,0.92993,0.89231,0.92075,0.36293,1.55924,2.4846,0.87647,0.92689,0.00197822,0.00197822,0.00197822
13,125.862,1.46485,2.25241,1.0446,0.99624,0.92954,0.91333,0.95194,0.49085,0.93737,0.92102,0.93862,0.44727,1.59267,2.39969,0.79955,0.93595,0.00197624,0.00197624,0.00197624
14,135.235,1.49814,2.1872,1.01928,0.98427,0.94416,0.91047,0.94798,0.52777,0.95213,0.91794,0.94123,0.44344,1.46492,2.24628,0.79043,0.90863,0.00197426,0.00197426,0.00197426
15,144.744,1.45016,2.15719,1.09522,0.97269,0.94075,0.89231,0.96395,0.52394,0.94886,0.9,0.94761,0.41244,1.53119,2.49836,0.76002,0.9177,0.00197228,0.00197228,0.00197228
