epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5065,1.79974,2.68642,3.07288,1.08285,0.1545,0.6991,0.19114,0.06923,0.1595,0.72172,0.21099,0.0781,1.59925,2.24502,3.24114,0.88866,0.000660194,0.000660194,0.000660194
2,19.9871,1.59197,2.41816,2.49442,0.98617,0.6004,0.49971,0.54596,0.31132,0.64091,0.47738,0.55697,0.21901,1.3949,2.31314,2.00001,0.88776,0.00132555,0.00132555,0.00132555
3,29.5995,1.616,2.4569,2.08317,1.01666,0.80179,0.73077,0.7739,0.42078,0.78156,0.70362,0.74155,0.29179,1.64474,2.75588,1.26877,0.93183,0.00198958,0.00198958,0.00198958
4,39.5278,1.69974,2.45971,1.71111,1.02748,0.79682,0.73529,0.79651,0.47283,0.80251,0.71267,0.77088,0.32845,1.51998,2.39732,1.15408,0.91663,0.00199406,0.00199406,0.00199406
5,48.8205,1.61965,2.3371,1.47756,1.02407,0.856,0.80691,0.84239,0.4809,0.8272,0.76896,0.79853,0.33929,1.58255,2.59125,0.98381,0.92134,0.00199208,0.00199208,0.00199208
6,58.6933,1.59046,2.32681,1.36702,1.01516,0.82835,0.76426,0.81428,0.49409,0.82349,0.71946,0.76565,0.33055,1.50983,2.33322,1.02524,0.92346,0.0019901,0.0019901,0.0019901
7,68.4233,1.56742,2.33566,1.25885,1.01403,0.87863,0.80254,0.85613,0.48848,0.82649,0.80769,0.82681,0.35693,1.60832,2.3874,1.12251,0.91241,0.00198812,0.00198812,0.00198812
8,78.6825,1.51822,2.14403,1.15239,1.00227,0.86265,0.80998,0.82261,0.48057,0.8568,0.78733,0.80582,0.34124,1.56325,2.22515,0.95333,0.92218,0.00198614,0.00198614,0.00198614
9,88.5898,1.52444,2.32137,1.18728,1.01957,0.86956,0.84163,0.86585,0.53538,0.84413,0.81674,0.83172,0.35139,1.39243,2.20083,0.88646,0.90466,0.00198416,0.00198416,0.00198416
10,99.007,1.48285,2.22299,1.17537,0.9965,0.88534,0.83032,0.87116,0.47806,0.85831,0.8009,0.82709,0.33712,1.64691,2.42023,0.93333,0.91847,0.00198218,0.00198218,0.00198218
11,108.633,1.4949,2.20783,1.08355,0.99108,0.87087,0.82805,0.86715,0.46342,0.83921,0.77937,0.80546,0.29854,1.68557,2.63385,0.9427,0.9369,0.0019802,0.0019802,0.0019802
12,117.968,1.44919,2.13867,2.05492,0.97942,0.91123,0.83605,0.88925,0.55158,0.87552,0.7797,0.81476,0.31685,1.38113,2.15409,0.81988,0.89855,0.00197822,0.00197822,0.00197822
13,127.715,1.48472,2.17598,1.05276,0.99693,0.94029,0.85515,0.91055,0.51618,0.88972,0.80769,0.86147,0.32947,1.55448,2.38054,0.82972,0.90913,0.00197624,0.00197624,0.00197624
14,137.587,1.50345,2.15331,1.01707,0.9866,0.91974,0.84615,0.90089,0.53387,0.88141,0.80543,0.84639,0.32666,1.51916,2.24518,0.82301,0.91656,0.00197426,0.00197426,0.00197426
15,147.257,1.45225,2.14171,1.08444,0.98302,0.94395,0.8371,0.90799,0.5781,0.91109,0.8114,0.86487,0.3869,1.36194,1.98881,0.77219,0.90301,0.00197228,0.00197228,0.00197228
