epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.319,2.09824,3.37051,1.23589,0.08235,0.65811,0.14254,0.06129,1.59253,3.34274,0.99905,0.00022,0.00022,0.00022
2,12.9804,1.58044,2.78057,0.98102,0.08673,0.73131,0.18474,0.06896,1.4502,3.36091,0.97884,0.000459545,0.000459545,0.000459545
3,15.5202,1.52853,2.26321,0.95989,0.08223,0.69337,0.16506,0.07287,1.45878,3.16253,0.96339,0.000698614,0.000698614,0.000698614
4,18.1901,1.58449,1.95323,0.96373,0.08882,0.74895,0.23474,0.09768,1.51672,3.01013,0.96289,0.000937208,0.000937208,0.000937208
5,20.744,1.55986,1.48957,0.95585,0.10727,0.90456,0.38641,0.20622,1.5823,2.58093,0.98963,0.00117533,0.00117533,0.00117533
6,23.25,1.56422,1.24255,0.95799,0.63829,0.38559,0.47081,0.22894,1.65155,2.4559,1.01577,0.00141297,0.00141297,0.00141297
7,26.0958,1.53701,1.09883,0.97126,0.71488,0.56123,0.65262,0.3211,1.61099,1.67744,1.0045,0.00165014,0.00165014,0.00165014
8,28.5376,1.46972,0.96935,0.95138,0.7737,0.65654,0.76248,0.39809,1.61077,1.40281,1.00238,0.00188683,0.00188683,0.00188683
9,31.0621,1.50024,0.96975,0.97203,0.79225,0.81998,0.80265,0.36204,1.63767,1.02151,1.06257,0.00198416,0.00198416,0.00198416
10,33.5967,1.49435,0.91044,0.96173,0.69326,0.81777,0.68573,0.3245,1.50066,1.31894,1.02214,0.00198218,0.00198218,0.00198218
11,36.1364,1.42166,0.87979,0.95266,0.77856,0.80376,0.74798,0.32711,1.53253,1.27543,1.0024,0.0019802,0.0019802,0.0019802
12,38.6386,1.49671,0.86405,0.95837,0.75336,0.77041,0.71826,0.32868,1.54902,1.32134,1.02082,0.00197822,0.00197822,0.00197822
13,41.1453,1.42058,0.8598,0.97256,0.84172,0.87313,0.89351,0.48161,1.37184,1.08543,0.97242,0.00197624,0.00197624,0.00197624
14,43.7931,1.42317,0.84472,0.97171,0.85399,0.88195,0.8911,0.45076,1.31091,1.18662,0.96308,0.00197426,0.00197426,0.00197426
15,46.278,1.41145,0.8577,0.97807,0.67368,0.79187,0.64584,0.26614,1.42449,1.21392,0.99019,0.00197228,0.00197228,0.00197228
16,48.7586,1.34583,0.81791,0.95743,0.88304,0.86585,0.88265,0.43577,1.40368,0.88613,0.97394,0.0019703,0.0019703,0.0019703
17,51.3769,1.34512,0.77704,0.95052,0.85617,0.83097,0.83483,0.39913,1.47223,0.91939,1.00748,0.00196832,0.00196832,0.00196832
18,53.7926,1.3414,0.83981,0.95417,0.85556,0.84227,0.83831,0.39181,1.43935,0.95649,1.00092,0.00196634,0.00196634,0.00196634
19,56.3015,1.42241,0.83789,0.96059,0.7784,0.80376,0.77649,0.3396,1.43125,1.12276,0.98234,0.00196436,0.00196436,0.00196436
20,59.0647,1.41173,0.81918,0.95641,0.80059,0.79992,0.76272,0.33967,1.35058,1.07772,0.97266,0.00196238,0.00196238,0.00196238
21,61.6671,1.29789,0.811,0.95314,0.81506,0.81252,0.82779,0.40524,1.39075,1.06713,0.98718,0.0019604,0.0019604,0.0019604
22,64.3023,1.35001,0.82539,0.95273,0.87441,0.86728,0.8881,0.45759,1.36081,0.92018,0.97112,0.00195842,0.00195842,0.00195842
23,66.8234,1.28003,0.75397,0.94792,0.86363,0.85203,0.85503,0.41895,1.35333,0.854,0.97981,0.00195644,0.00195644,0.00195644
24,69.4789,1.32023,0.75822,0.94731,0.88134,0.85588,0.87391,0.44958,1.34254,0.81972,0.96686,0.00195446,0.00195446,0.00195446
25,71.9921,1.28237,0.74918,0.93812,0.89134,0.88354,0.90198,0.43172,1.33608,0.80869,0.95686,0.00195248,0.00195248,0.00195248
26,74.7472,1.21745,0.73609,0.92372,0.89612,0.87289,0.9008,0.47733,1.33555,0.77577,0.97084,0.0019505,0.0019505,0.0019505
27,77.2772,1.25166,0.75818,0.94473,0.89085,0.88215,0.91507,0.51512,1.36919,0.73985,0.9605,0.00194852,0.00194852,0.00194852
28,79.7127,1.25721,0.73053,0.92252,0.90117,0.88271,0.90979,0.47616,1.39563,0.73715,0.95743,0.00194654,0.00194654,0.00194654
29,82.3996,1.37942,0.77087,0.94889,0.89748,0.87351,0.88374,0.41485,1.31816,0.74919,0.95302,0.00194456,0.00194456,0.00194456
30,84.9908,1.27837,0.75418,0.945,0.89442,0.8767,0.89731,0.44586,1.29309,0.73781,0.94876,0.00194258,0.00194258,0.00194258
31,87.5809,1.30132,0.72798,0.94045,0.89649,0.88195,0.91257,0.51414,1.32409,0.70831,0.95372,0.0019406,0.0019406,0.0019406
32,90.1136,1.24252,0.69962,0.92548,0.88578,0.85605,0.88702,0.49801,1.2601,0.70367,0.95449,0.00193862,0.00193862,0.00193862
33,92.6388,1.30494,0.76761,0.95548,0.89888,0.8808,0.89007,0.44702,1.27881,0.70862,0.94843,0.00193664,0.00193664,0.00193664
34,95.3284,1.19352,0.69304,0.91844,0.91941,0.89643,0.91474,0.47201,1.25747,0.70503,0.94298,0.00193466,0.00193466,0.00193466
35,98.0185,1.26515,0.70626,0.93487,0.90336,0.8716,0.89947,0.49199,1.28895,0.70357,0.9541,0.00193268,0.00193268,0.00193268
36,100.6,1.22156,0.69188,0.92025,0.91404,0.89115,0.91669,0.50193,1.34369,0.69452,0.95877,0.0019307,0.0019307,0.0019307
